 Title, Isbn, CcbcCollection, Genres, Publisher, Subject, Contributors, ContributorTypes, Contributor Identity
She Gets the Girl,9.78153E+12,Fiction,Contemporary,Simon & Schuster,"Asian, LGBTQ Character/Topic, Psychiatric","Rachael Lippincott, Alyson Derrick",Author,"Female, LGBTQ, White (Rachael Lippincott), Asian, Female, LGBTQ (Alyson Derrick)"
She Sang for India: How M.S. Subbulakshmi Used Her Voice for Change,9.78037E+12,Non-Fiction,Biography/History,Farrar Straus Giroux / Macmillan,Asian,"Suma Subramaniam, Shreya Gupta","Author, Illustrator","Asian, Female (Suma Subramaniam), Asian, Female (Shreya Gupta)"
"Shinji Takahashi and the Mark of the Coatl (Society of Explorers and Adventurers, #1)",9.78137E+12,Fiction,Fantasy,Buena Vista / Disney-Hyperion,Asian,Julie Kagawa,Author,"Asian, Female (Julie Kagawa)"
Sitti's Bird: A Gaza Story,9.78162E+12,Picture Book,Contemporary,Crocodile / Interlink,"Arab, Middle East","Malak Mattar, Malak Mattar","Author, Illustrator","Arab, Asian, Female, Middle East (Malak Mattar), Arab, Asian, Female, Middle East (Malak Mattar)"
"Snow Angel, Sand Angel",9.78059E+12,Picture Book,Contemporary,Make Me A World / Random House,"Asian, Pacific Islander","Ashley Lukashevsky, Lois-Ann Yamanaka","Author, Illustrator","Asian, Female, LGBTQ, Multiracial (Ashley Lukashevsky), Asian, Female (Lois-Ann Yamanaka)"
So Much Snow,9.78173E+12,Picture Book,Fantasy,Sourcebooks / Sourcebooks Jabberwocky,,"Hyunmin Park, Hyunmin Park","Author, Illustrator","Asian, Male (Hyunmin Park), Asian, Male (Hyunmin Park)"
So Not Ghoul,9.78165E+12,Picture Book,Fantasy,Page Street / Page Street Kids,Asian,"Karen Yin, Bonnie Lui","Author, Illustrator","Asian, Female (Karen Yin), Asian, Female (Bonnie Lui)"
Sometimes Love,9.78059E+12,Picture Book,Contemporary,Dial / Penguin Random House,Brown Skin Unspecified,"Katrina Moore, Joy Hwang Ruiz","Author, Illustrator","Asian, Female (Katrina Moore), Asian, Female (Joy Hwang Ruiz)"
Spider-Man's Social Dilemma,9.78137E+12,Fiction,"Fantasy, Series Fiction",Buena Vista / Marvel,,Preeti Chhibber,Author,"Asian, Female (Preeti Chhibber)"
Squire,9.78006E+12,Non-Fiction,"Fantasy, Graphic Novel",HarperAlley / HarperCollins / Quill Tree,"Arab, Asian, Middle East","Sara Alfageeh, Nadia Shammas","Author, Illustrator","Arab, Asian, Female, Middle East (Sara Alfageeh), Arab, Asian, Female, Middle East (Nadia Shammas)"
Star Fishing,9.78142E+12,Picture Book,Fantasy,Abrams,,"Sang-Keun Kim, Sang-Keun Kim, Ginger Ly","Author, Illustrator, Translator","Asian, Female (Sang-Keun Kim), Asian, Female (Sang-Keun Kim), Asian (Ginger Ly)"
Star the Elephant (Surviving the Wild),9.78125E+12,Non-Fiction,"Animal Fantasy, Graphic Novel, Series Fiction",Henry Holt / Macmillan,,"Remy Lai, Remy Lai","Author, Illustrator","Asian, Female (Remy Lai), Asian, Female (Remy Lai)"
Star Wars: Stories of Jedi and Sith,9.78137E+12,Fiction,"Media Tie-in, Science Fiction",Buena Vista / Lucasfilm,,"Roseanne A. Brown, Delilah S Dawson, Michael Kogge, Vera Strange, Sarwat Chadda, Tessa Gratton, Sam Maggs, Karen Strong, Alex Segura, Jennifer Heddle","Author, Compiler","Black/African, Female (Roseanne A. Brown), Female, White (Delilah S Dawson), Male, White (Michael Kogge), Female, White (Vera Strange), Asian, Male, Muslim (Sarwat Chadda), LGBTQ, Other Gender, Transgender, White (Tessa Gratton), Female, LGBTQ, White (Sam Maggs), Black/African, Female (Karen Strong), Latinx, Male (Alex Segura), Female, White (Jennifer Heddle)"
Stolen City,9.78125E+12,Fiction,Fantasy,Feiwel and Friends / Macmillan / Swoon Reads,Brown Skin Unspecified,Elisa A. Bonnin,Author,"Asian, Female (Elisa A. Bonnin)"
"Strike the Zither (Kingdom of Three, #1)",9.78125E+12,Fiction,"Fantasy, Historical, Series Fiction",Roaring Brook,Asian,Joan He,Author,"Asian, Female (Joan He)"
Sunday Pancakes,9.78059E+12,Picture Book,Animal Fantasy,Dial / Penguin Random House,,"Maya Tatsukawa, Maya Tatsukawa","Author, Illustrator","Asian, Female (Maya Tatsukawa), Asian, Female (Maya Tatsukawa)"
Sunflower Sisters,9.78173E+12,Picture Book,Contemporary,Sourcebooks / Sourcebooks Jabberwocky,"Asian, Black/African","Monika Singh Gangotra, Michaela Dias-Hayes","Author, Illustrator","Asian, Female (Monika Singh Gangotra), Black/African, Female, Latinx, Multiracial (Michaela Dias-Hayes)"
Sunny G's Series of Rash Decisions,9.78059E+12,Fiction,Contemporary,Dial / Penguin Random House,"Asian, Other Religion",Navdeep Singh Dhillon,Author,"Asian, Male (Navdeep Singh Dhillon)"
Sunny the Shark (Surviving the Wild),9.78125E+12,Non-Fiction,"Animal Fantasy, Graphic Novel",Henry Holt / Macmillan,,"Remy Lai, Remy Lai","Author, Illustrator","Asian, Female (Remy Lai), Asian, Female (Remy Lai)"
Super Mom,9.78167E+12,Picture Book,"Board Book, Contemporary",Little Simon / Simon & Schuster,Multicultural General,"Cindy Jin, Jenin Mohammed","Author, Illustrator","Asian, Female (Cindy Jin), Black/African, Female, Latinx (Jenin Mohammed)"
"Super You! (Power of Flight, #1)",9.78059E+12,Fiction,"Fantasy, Series Fiction",Penguin Random House / Penguin Workshop,,"Hena Khan, Andrea Menotti, Yancey Labat","Author, Illustrator","Asian, Female, Muslim (Hena Khan), Female, White (Andrea Menotti), Male, White (Yancey Labat)"
"Surely Surely Marisol Rainey (Maybe Marisol, #2)",9.78006E+12,Fiction,"Contemporary, Series Fiction",Greenwillow / HarperCollins,"Asian, Black/African","Erin Entrada Kelly, Erin Entrada Kelly","Author, Illustrator","Asian, Female (Erin Entrada Kelly), Asian, Female (Erin Entrada Kelly)"
Tails (Touch and Feel),9.78071E+12,Picture Book,Board Book,Happy Yak,,"Surya Sajnani, Surya Sajnani","Author, Illustrator","Asian, Female (Surya Sajnani), Asian, Female (Surya Sajnani)"
Take a Breath,9.78153E+12,Picture Book,Animal Fantasy,Atheneum / Caitlyn Dlouhy Books,,"Sujean Rim, Sujean Rim","Author, Illustrator","Asian, Female (Sujean Rim), Asian, Female (Sujean Rim)"
Tales of a Seventh-Grade Lizard Boy,9.78154E+12,Non-Fiction,"Graphic Novel, Science Fiction",Candlewick / Walker,Asian,"Jonathan Hill, Jonathan Hill","Author, Illustrator","Asian, Male (Jonathan Hill), Asian, Male (Jonathan Hill)"
Tasting Light: Ten Science Fiction Stories to Rewire Your Perceptions,9.78154E+12,Fiction,"Anthology, Science Fiction",Candlewick / MITeen,"LGBTQ Character/Topic, Multicultural General","William Alexander, K. Ancrum, Nasugraq Rainey Hopson, E. C. Myers, A. R. Capetta, A. S. King, Wendy Xu, Elizabeth Bear, Charlotte Nicole Davis, A. R. Capetta, Wade Roush, Junauda Petrus-Nasah","Author, Compiler","Latinx, Male (William Alexander), Black/African, Female, LGBTQ (K. Ancrum), Female, Indigenous (Nasugraq Rainey Hopson), Asian, Male, Multiracial (E. C. Myers), LGBTQ, Other Gender, Transgender, White (A. R. Capetta), Female, White (A. S. King), Asian, Female (Wendy Xu), LGBTQ, Unknown, White (Elizabeth Bear), Black/African, LGBTQ, Transgender (Charlotte Nicole Davis), LGBTQ, Other Gender, Transgender, White (A. R. Capetta), Male, White (Wade Roush), Black/African, Female, Latinx (Junauda Petrus-Nasah)"
Team Chu and the Battle of Blackwood Arena,9.78037E+12,Fiction,"Fantasy, Series Fiction",Farrar Straus Giroux / Macmillan,Asian,Julie C. Dao,Author,"Asian, Female (Julie C. Dao)"
Ten Blocks to the Big Wok,9.78164E+12,Picture Book,"Bilingual, Concept, Contemporary",Children's Book Press / Lee & Low,Asian,"Ying-Hwa Hu, Ying-Hwa Hu, Ying-Hwa Hu","Author, Illustrator, Translator","Asian, Female (Ying-Hwa Hu), Asian, Female (Ying-Hwa Hu), Asian, Female (Ying-Hwa Hu)"
That's Not My Name!,9.78059E+12,Picture Book,Contemporary,Penguin Random House / Viking,Asian,"Anoosha Syed, Anoosha Syed","Author, Illustrator","Asian, Female, Muslim (Anoosha Syed), Asian, Female, Muslim (Anoosha Syed)"
The Aquanaut,9.78055E+12,Non-Fiction,"Fantasy, Graphic Novel",Graphix / Scholastic,Brown Skin Unspecified,"Dan Santat, Dan Santat","Author, Illustrator","Asian, Male (Dan Santat), Asian, Male (Dan Santat)"
"The Bailey School Kids: Frankenstein Doesn't Plant Petunias (Graphic Novel, #2)",9.78134E+12,Non-Fiction,"Fantasy, Graphic Novel, Series Fiction",Graphix / Scholastic,Multicultural General,"Marcia Thornton Jones, Debbie Dadey, Pearl Low, Pearl Low","Author, Illustrator","Female, White (Marcia Thornton Jones), Female, White (Debbie Dadey), Asian, Black/African, LGBTQ, Other Gender, Transgender (Pearl Low), Asian, Black/African, LGBTQ, Other Gender, Transgender (Pearl Low)"
The Best Kind of Mooncake,9.78165E+12,Picture Book,Contemporary,Page Street,Asian,"Pearl AuYeung, Pearl AuYeung","Author, Illustrator","Asian, Female (Pearl AuYeung), Asian, Female (Pearl AuYeung)"
The Blur,9.78059E+12,Picture Book,Contemporary,Knopf / Random House,Asian,"Minh Le, Dan Santat","Author, Illustrator","Asian, Male (Minh Le), Asian, Male (Dan Santat)"
The Boy Who Met a Whale,9.78168E+12,Fiction,Fantasy,Peachtree,Asian,Nizrana Farook,Author,"Asian, Female (Nizrana Farook)"
The Boy Who Tried to Shrink His Name,9.78142E+12,Picture Book,Contemporary,Abrams,Asian,"Sandhya Parappukkaran, Michelle Pereira","Author, Illustrator","Asian, Female (Sandhya Parappukkaran), BIPOC Unspecified, Female (Michelle Pereira)"
"The Broken Mirror (The Chronicles of Never After, #3)",9.78125E+12,Fiction,"Fantasy, Series Fiction",Roaring Brook,Asian,Melissa de la Cruz,Author,"Asian, Female (Melissa de la Cruz)"
The Button Box,9.78173E+12,Fiction,"Fantasy, Historical",Kar-Ben,"Black/African, Jewish, Muslim","Bridget Hodder, Fawzia Gilani-Williams",Author,"Female, Jewish, White (Bridget Hodder), Asian, Female, Muslim (Fawzia Gilani-Williams)"
The Chandler Legacies,9.78006E+12,Fiction,Historical,Balzer + Bray / HarperCollins,"LGBTQ Character/Topic, Multicultural General, Psychiatric",Abdi Nazemian,Author,"Asian, LGBTQ, Male, Middle East (Abdi Nazemian)"
The Cosmic Adventures of Astrid and Stella (#1),9.78142E+12,Non-Fiction,"Fantasy, Graphic Novel",Abrams / Amulet,,"Sabrina Moyle, Eunice Moyle","Author, Illustrator","Asian, Female (Sabrina Moyle), Asian, Female (Eunice Moyle)"
The Darkening,9.78036E+12,Fiction,Fantasy,Clarion / HarperCollins,Asian,Sunya Mara,Author,"Asian, Female (Sunya Mara)"
The Depth of the Lake and the Height of the Sky,9.78178E+12,Picture Book,Contemporary,Floris,Asian,"Jihyun Kim, Jihyun Kim","Author, Illustrator","Asian, Female (Jihyun Kim), Asian, Female (Jihyun Kim)"
"The Disappearing Act (Teeny Houdini, #1)",9.78006E+12,Fiction,"Contemporary, Series Fiction",HarperCollins / Katherine Tegen Books,Asian,"Katrina Moore, Zoe Si","Author, Illustrator","Asian, Female (Katrina Moore), Asian, Female (Zoe Si)"
"The Dragon's Promise (Six Crimson Cranes, #2)",9.78059E+12,Fiction,"Fantasy, Series Fiction",Knopf / Random House,Asian,Elizabeth Lim,Author,"Asian, Female (Elizabeth Lim)"
The Dream Runners,9.78006E+12,Fiction,Fantasy,HarperCollins / HarperTeen,"Asian, Other Religion",Shveta Thakrar,Author,"Asian, Female (Shveta Thakrar)"
"The Extradimensional Reappearance of Mars Patel (Mars Patel, #3)",9.78154E+12,Fiction,"Science Fiction, Series Fiction",Candlewick / Walker,"Asian, LGBTQ Character/Topic",Sheela Chari,Author,"Asian, Female (Sheela Chari)"
The Flamingo,9.78059E+12,Non-Fiction,"Fantasy, Graphic Novel",Random House / Random House Studio,Asian,"Guojing,  Guojing","Author, Illustrator","Asian, Female ( Guojing), Asian, Female ( Guojing)"
"The Funny Book (Bobo and Pup-Pup, #3)",9.78059E+12,Picture Book,"Animal Fantasy, Easy Reader",Random House,,"Vikram Madan, Nicola Slater","Author, Illustrator","Asian, Male (Vikram Madan), Female, White (Nicola Slater)"
The Gathering Dark: An Anthology of Folk Horror,9.78165E+12,Fiction,Anthology,Page Street,"LGBTQ Character/Topic, Multicultural General","Tori Bovalino, Erica Waters, Olivia Chadha, Chloe Gong, Courtney Gould, Tori Bovalino, Aden Polydoros, Hannah Whitten, Alex Brown, Allison Saft, Shakira Toussaint","Author, Compiler","Female, LGBTQ, White (Tori Bovalino), Female, White (Erica Waters), Asian, Female, Multiracial, Other Religion (Olivia Chadha), Asian, Female (Chloe Gong), Female, White (Courtney Gould), Female, LGBTQ, White (Tori Bovalino), Jewish, LGBTQ, Male, White (Aden Polydoros), Female, White (Hannah Whitten), Female, LGBTQ, Pacific Islander (Alex Brown), Female, White (Allison Saft), Female, Heritage Unknown (Shakira Toussaint)"
The Genesis Wars,9.78153E+12,Fiction,Fantasy,Simon & Schuster,Asian,Akemi Dawn Bowman,Author,"Asian, Female, Multiracial (Akemi Dawn Bowman)"
The Girl Who Fell Beneath the Sea,9.78125E+12,Fiction,Fantasy,Feiwel and Friends / Macmillan,Asian,Axie Oh,Author,"Asian, Female (Axie Oh)"
The Hanmoji Handbook: Your Guide to the Chinese Language Through Emoji,9.78154E+12,Non-Fiction,,Candlewick / MITeen,Asian,"Jason Li, An Xiao Mina, Jennifer 8. Lee, Jason Li","Author, Illustrator","Asian, Male (Jason Li), Asian, Female (An Xiao Mina), Asian, Female (Jennifer 8. Lee), Asian, Male (Jason Li)"
The Homework,9.78819E+12,Picture Book,Contemporary,Karadi Tales,Asian,"Ashwin Guha, Vaibhav Kumaresh","Author, Illustrator","Asian, Male (Ashwin Guha), Asian, Male (Vaibhav Kumaresh)"
The Ivory Key (#1),9.78036E+12,Fiction,"Fantasy, Series Fiction",Clarion / HarperCollins,Asian,Akshaya Raman,Author,"Asian, Female (Akshaya Raman)"
The Katha Chest,9.78167E+12,Picture Book,Contemporary,Salaam Reads / Simon & Schuster,Asian,"Radhiah Chowdhury, Lavanya Naidu","Author, Illustrator","Asian, Female, Muslim (Radhiah Chowdhury), Asian, Female (Lavanya Naidu)"
"The Last Fallen Moon (Gifted Clans, #2)",9.78137E+12,Fiction,"Fantasy, Series Fiction",Disney-Hyperion / Rick Riordan Presents,Asian,Graci Kim,Author,"Asian, Female (Graci Kim)"
The Last Mapmaker,9.78154E+12,Fiction,Fantasy,Candlewick,Asian,Christina Soontornvat,Author,"Asian, Female, Multiracial (Christina Soontornvat)"
The Lies We Tell,9.78155E+12,Fiction,Contemporary,Bloomsbury,Asian,Katie Zhao,Author,"Asian, Female (Katie Zhao)"
The Little Book of Joy,9.78059E+12,Picture Book,,Crown,"Asian, Black/African, Christian, Other Religion","The Dalai Lama, Desmond Mpilo Tutu, Rafael Lopez","Author, Illustrator","Asian, Male, Other Religion (The Dalai Lama), Black/African, Christian, Male (Desmond Mpilo Tutu), Latinx, Male (Rafael Lopez)"
The Little Island,9.78173E+12,Picture Book,Animal Fantasy,Andersen,,"Smriti Prasadam-Halls, Robert Starling","Author, Illustrator","Asian, Female (Smriti Prasadam-Halls), Male, White (Robert Starling)"
The Little Toymaker,9.78165E+12,Picture Book,Fantasy,Levine Querido,Brown Skin Unspecified,"Cat Min, Cat Min","Author, Illustrator","Asian, Female (Cat Min), Asian, Female (Cat Min)"
The Loophole,9.78155E+12,Fiction,Contemporary,Bloomsbury,"Asian, LGBTQ Character/Topic, Muslim",Naz Kutub,Author,"Asian, LGBTQ, Male (Naz Kutub)"
The Lost Ryu,9.78165E+12,Fiction,Fantasy,Levine Querido,"Asian, Jewish",Emi Watanabe Cohen,Author,"Asian, Female, Jewish, Multiracial (Emi Watanabe Cohen)"
The Monster in the Bathhouse,9.78153E+12,Picture Book,Contemporary,Simon & Schuster,"Asian, Middle East","Sina Merabian, Sina Merabian","Author, Illustrator","Asian, Female, Middle East (Sina Merabian), Asian, Female, Middle East (Sina Merabian)"
The Moon from Dehradun: A Story of Partition,9.78167E+12,Picture Book,Historical,Atheneum / Simon & Schuster,"Asian, Muslim","Shirin Shamsi, Tarun Lak","Author, Illustrator","Asian, Female, Muslim (Shirin Shamsi), Asian, Male (Tarun Lak)"
The Night Bus Hero,9.78059E+12,Fiction,Contemporary,Delacorte / Random House,Asian,Onjali Q. Rauf,Author,"Asian, Female, Muslim (Onjali Q. Rauf)"
The Noh Family,9.78059E+12,Fiction,Contemporary,Kokila / Penguin Random House,Asian,Grace K. Shim,Author,"Asian, Female (Grace K. Shim)"
"The Poodle of Doom (Pets Rule!, #2)",9.78134E+12,Fiction,"Animal Fantasy, Series Fiction",Scholastic,,"Susan Tan, Wendy Tan Shiau Wei","Author, Illustrator","Asian, Female (Susan Tan), Asian, Female (Wendy Tan Shiau Wei)"
The Real R.P.G.: The Story of the Red Panda Girl,9.78137E+12,Fiction,"Fantasy, Media Tie-in",Disney,Asian,Lily Quan,Author,"Asian, Female (Lily Quan)"
The Red Palace,9.78125E+12,Fiction,Historical,Feiwel and Friends / Macmillan,Asian,June Hur,Author,"Asian, Female (June Hur)"
The Rise (and Falls) of Jackie Chan,9.78059E+12,Non-Fiction,Biography/History,Crown / Random House,Asian,"Kristen Mai Giang, Alina Chau","Author, Illustrator","Asian, Female (Kristen Mai Giang), Asian, Female (Alina Chau)"
The Rumor Game,9.78137E+12,Fiction,Contemporary,Buena Vista / Hyperion,Black/African,"Dhonielle Clayton, Sona Charaipotra",Author,"Black/African, Female, LGBTQ (Dhonielle Clayton), Asian, Female (Sona Charaipotra)"
The Science of Boys,9.78193E+12,Fiction,Contemporary,Tradewind,Asian,"Emily Satako Seo, Gracey Zhang","Author, Illustrator","Asian, Female (Emily Satako Seo), Asian, Female (Gracey Zhang)"
The Secret Battle of Evan Pao,9.78134E+12,Fiction,Contemporary,Scholastic / Scholastic Press,Asian,Wendy Wan-Long Shang,Author,"Asian, Female (Wendy Wan-Long Shang)"
The Silence that Binds Us,9.78006E+12,Fiction,Contemporary,HarperCollins / HarperTeen,"Asian, Black/African, Latinx, Psychiatric",Joanna Ho,Author,"Asian, Female (Joanna Ho)"
The Spirit Queen ,9.78155E+12,Fiction,Fantasy,Bloomsbury,Brown Skin Unspecified,Arnee Flores,Author,"Asian, Female (Arnee Flores)"
"The Stolen Slippers (Chronicles of Never After, #2)",9.78125E+12,Fiction,"Fantasy, Series Fiction",Roaring Brook,Brown Skin Unspecified,Melissa de la Cruz,Author,"Asian, Female (Melissa de la Cruz)"
The Story of Us,9.78151E+12,Non-Fiction,,1517 Media / Beaming Books,"Christian, Middle East","Mitali Perkins, Kevin Howdeshell, Kristen Howdeshell","Author, Illustrator","Asian, Female (Mitali Perkins), Male, White (Kevin Howdeshell), Female, White (Kristen Howdeshell)"
"The Super-Secret Valentine (Teeny Houdini, #2)",9.78006E+12,Fiction,"Contemporary, Series Fiction",HarperCollins / Katherine Tegen Books,Asian,"Katrina Moore, Zoe Si","Author, Illustrator","Asian, Female (Katrina Moore), Asian, Female (Zoe Si)"
The Tryout,9.78134E+12,Non-Fiction,"Biography/History, Graphic Novel",Graphix / Scholastic,"Asian, Christian, Middle East, Other Religion","Christina Soontornvat, Joanna Cacao","Author, Illustrator","Asian, Female, Multiracial (Christina Soontornvat), Asian, Female (Joanna Cacao)"
The Turtle of Michigan,9.78006E+12,Fiction,Contemporary,Greenwillow / HarperCollins,"Arab, Asian, Middle East",Naomi Shihab Nye,Author,"Arab, Asian, Female, Middle East, Multiracial, Other Religion (Naomi Shihab Nye)"
The Universe in You: A Microscopic Journey,9.78082E+12,Non-Fiction,Natural World,Holiday House / Neal Porter Books,,"Jason Chin, Jason Chin","Author, Illustrator","Asian, Male (Jason Chin), Asian, Male (Jason Chin)"
"The Vanderbeekers on the Road (The Vanderbeekers, #6)",9.78036E+12,Fiction,"Contemporary, Series Fiction",Clarion / HarperCollins,Brown Skin Unspecified,"Karina Yan Glaser, Karina Yan Glaser","Author, Illustrator","Asian, Female (Karina Yan Glaser), Asian, Female (Karina Yan Glaser)"
The View from the Very Best House in Town,9.78154E+12,Fiction,Contemporary,Candlewick / Walker,"Asian, Cognitive/Neurological",Meera Trehan,Author,"Asian, Female (Meera Trehan)"
The Waiting Place: When Home Is Lost and a New One Not Yet Found,9.78154E+12,Non-Fiction,,Candlewick,"Asian, Middle East","Dina Nayeri, Anna Bosch Miralpeix","Author, Illustrator","Asian, Female, Middle East (Dina Nayeri), Female, White (Anna Bosch Miralpeix)"
The Way Champs Play,9.78006E+12,Picture Book,Contemporary,Harper / HarperCollins,"Black/African, Multicultural General","Naomi Osaka, Kamala Nair","Author, Illustrator","Asian, Black/African, Female, Latinx, Multiracial (Naomi Osaka), Asian, Female (Kamala Nair)"
The Wonders We Seek: Thirty Incredible Muslims Who Helped Shape the World,9.78006E+12,Non-Fiction,Biography/History,HarperCollins / Quill Tree,"Multicultural General, Muslim","Saadia Faruqi, Saffa Khan, Aneesa Mumtaz","Author, Illustrator","Asian, Female, Muslim (Saadia Faruqi), Asian, LGBTQ, Muslim, Transgender (Saffa Khan), Asian, Female, Muslim (Aneesa Mumtaz)"
Theo Tan and the Fox Spirit,9.78125E+12,Fiction,Fantasy,Feiwel and Friends / Macmillan,Asian,Jesse Q Sutanto,Author,"Asian, Female (Jesse Q Sutanto)"
Thirst,9.78059E+12,Fiction,Contemporary,Nancy Paulsen Books / Penguin Random House,Asian,Varsha Bajaj,Author,"Asian, Female (Varsha Bajaj)"
This Is (Not) Enough,9.78154E+12,Picture Book,Fantasy,Two Lions,,"Anna Kang, Christopher Weyant","Author, Illustrator","Asian, Female (Anna Kang), Male, White (Christopher Weyant)"
This is Music: Drums,9.78059E+12,Picture Book,Board Book,Penguin Random House / Rise x Penguin Workshop,Multicultural General,"Rekha S. Rajan, Tania Yakunova","Author, Illustrator","Asian, Female (Rekha S. Rajan), Female, White (Tania Yakunova)"
This is Music: Horns,9.78059E+12,Picture Book,Board Book,Penguin Random House / Rise x Penguin Workshop,Multicultural General,"Rekha S. Rajan, Tania Yakunova","Author, Illustrator","Asian, Female (Rekha S. Rajan), Female, White (Tania Yakunova)"
This Place Is Still Beautiful,9.78006E+12,Fiction,Contemporary,Balzer + Bray / HarperCollins,Asian,XiXi Tian,Author,"Asian, Female (XiXi Tian)"
This Woven Kingdom,9.78006E+12,Fiction,Fantasy,Harper / HarperCollins,"Asian, Middle East, Muslim",Tahereh Mafi,Author,"Asian, Female, Middle East, Muslim (Tahereh Mafi)"
Those Kids from Fawn Creek,9.78006E+12,Fiction,Contemporary,Greenwillow / HarperCollins,Gender Nonconformity,Erin Entrada Kelly,Author,"Asian, Female (Erin Entrada Kelly)"
"Three Kisses, One Midnight",9.78125E+12,Fiction,Contemporary,St. Martin's / Wednesday Books,Asian,"Roshani Chokshi, Evelyn Skye, Sandhya Menon",Author,"Asian, Female, Multiracial (Roshani Chokshi), Asian, Female (Evelyn Skye), Asian, Female (Sandhya Menon)"
Through the Forest,9.78191E+12,Picture Book,Contemporary,Lantana / Lerner,Asian,"Yijing Li, Yijing Li","Author, Illustrator","Asian, Female (Yijing Li), Asian, Female (Yijing Li)"
"Tiger Honor (Thousand Worlds, #2)",9.78137E+12,Fiction,"Fantasy, Science Fiction, Series Fiction",Disney-Hyperion / Rick Riordan Presents,"Asian, LGBTQ Character/Topic",Yoon Ha Lee,Author,"Asian, Male (Yoon Ha Lee)"
TJ Powar Has Something to Prove,9.78059E+12,Fiction,Contemporary,Penguin Random House / Viking,"Asian, Other Religion",Jesmeen Kaur Deo,Author,"Asian, Female, Other Religion (Jesmeen Kaur Deo)"
To Change a Planet,9.78134E+12,Picture Book,Contemporary,Scholastic / Scholastic Press,Multicultural General,"Christina Soontornvat, Rahele Jomepour Bell","Author, Illustrator","Asian, Female, Multiracial (Christina Soontornvat), Asian, Female, Middle East (Rahele Jomepour Bell)"
Today I'm Strong,9.78059E+12,Picture Book,Contemporary,Penguin Random House / Viking,Brown Skin Unspecified,"Nadiya Hussain, Ella Bailey","Author, Illustrator","Asian, Female, Muslim (Nadiya Hussain), Female, White (Ella Bailey)"
Today Is Different,9.78173E+12,Picture Book,Contemporary,Carolrhoda / Lerner,"Asian, Black/African","Doua Moua, Kim Holt","Author, Illustrator","Asian, Male, Other Religion (Doua Moua), Black/African, Female (Kim Holt)"
Tomatoes in My Lunchbox,9.78125E+12,Picture Book,Contemporary,Roaring Brook,Brown Skin Unspecified,"Costantia Manoli, Magdalena Mora","Author, Illustrator","Asian, Female, Middle East (Costantia Manoli), Female, Latinx (Magdalena Mora)"
Travelers Along the Way (A Robin Hood Remix),9.78125E+12,Fiction,Historical,Feiwel and Friends / Macmillan,"Arab, LGBTQ Character/Topic, Middle East, Muslim",Aminah Mae Safi,Author,"Arab, Asian, Female, Latinx, LGBTQ, Middle East, Muslim (Aminah Mae Safi)"
"Trial of Heroes (Super Sidekicks, #3)",9.78059E+12,Non-Fiction,"Fantasy, Graphic Novel, Series Fiction",Random House,Asian,"Gavin Aung Than, Gavin Aung Than","Author, Illustrator","Asian, Male (Gavin Aung Than), Asian, Male (Gavin Aung Than)"
Troublemaker,9.78076E+12,Fiction,Historical,"Little, Brown","Asian, Black/African, Christian","John Cho, Sarah Suk",Author,"Asian, Male (John Cho), Asian, Female (Sarah Suk)"
"Under Pressure (B.E.S.T. World, #2)",9.78036E+12,Fiction,"Science Fiction, Series Fiction",Clarion / HarperCollins,"Black/African, LGBTQ Character/Topic, Physical",Cory McCarthy,Author,"Arab, Asian, LGBTQ, Male, Middle East, Multiracial, Other Gender, Transgender (Cory McCarthy)"
Violet Made of Thorns,9.78059E+12,Fiction,Fantasy,Delacorte / Penguin Random House,Asian,Gina Chen,Author,"Asian, Female (Gina Chen)"
VIP: Very Important Preschooler,9.78167E+12,Picture Book,"Board Book, Contemporary",Little Simon / Simon & Schuster,Multicultural General,"Cindy Jin, Ella Bailey","Author, Illustrator","Asian, Female (Cindy Jin), Female, White (Ella Bailey)"
Warrior Princess: The Story of Khutulun,9.78037E+12,Picture Book,Historical,Farrar Straus Giroux / Macmillan,Asian,"Sally Deng, Sally Deng","Author, Illustrator","Asian, Female (Sally Deng), Asian, Female (Sally Deng)"
Wave,9.78195E+12,Fiction,Contemporary,Abrams / Cameron Kids,"Asian, Middle East, Psychiatric",Diana Farid,Author,"Asian, Female, Middle East (Diana Farid)"
We All Celebrate!,9.78191E+12,Non-Fiction,,Tiny Owl,"Christian, Jewish, Multicultural General, Muslim, Other Religion","Chitra Soundar, Jenny Bloomfield","Author, Illustrator","Asian, Female (Chitra Soundar), Female, White (Jenny Bloomfield)"
We Are All We Have,9.78059E+12,Fiction,Contemporary,Random House / Wendy Lamb Books,Asian,Marina Budhos,Author,"Asian, Jewish, Multiracial (Marina Budhos)"
We Have a Dream: Meet 30 Young Indigenous People and People of Color Protecting the Planet,9.78142E+12,Non-Fiction,Biography/History,Magic Cat,Multicultural General,"Mya-Rose Craig, Sabrena Khadija","Author, Illustrator","Asian, Female (Mya-Rose Craig), Black/African, LGBTQ, Unknown (Sabrena Khadija)"
Welcome to Your World,9.78154E+12,Picture Book,"Board Book, Contemporary",Candlewick,Brown Skin Unspecified,"Smriti Prasadam-Halls, Jaime Kim","Author, Illustrator","Asian, Female (Smriti Prasadam-Halls), Asian, Female (Jaime Kim)"
"Well, That Was Unexpected",9.78059E+12,Fiction,Contemporary,Delacorte / Random House,Asian,Jesse Q Sutanto,Author,"Asian, Female (Jesse Q Sutanto)"
